timestamp,top_bid_price,top_bid_qty,top_ask_price,top_ask_qty
1772034535.7600567,67467.66000000,2.93727000,67467.67000000,0.51984000
1772034536.7806168,67467.66000000,0.70124000,67467.67000000,1.82005000
1772034537.7587616,67459.24000000,1.49658000,67459.25000000,1.30822000
1772034538.7598448,67459.24000000,1.03672000,67459.25000000,1.29450000
1772034539.7575412,67459.24000000,1.20510000,67459.25000000,1.13810000
